Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
AJAX VITRE,2.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,32.0
AMANDES GRILEES SALEES 70GR,24.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,0,84.0
AUBERGINE LEGUME,2.1,KG,Legumes Frais,lundi,2024-01,A,0,17.85
BACON DE DINDE TRANCHES (1 - 1.5 KG),10.0,KG,Charcuterie,lundi,2024-01,B,0,43.0
BISCUIT TUC,24.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,120.0
BORGHELL,3.0,KG (1 KG),Epicerie,lundi,2024-01,C,0,10.0
BROCHETTE BAMBOO 20,2.0,PC (1 PC),Consommable,lundi,2024-01,C,0,14.0
CAKE MARBRE PBC,55.0,PC (1 PC),Viennoiserie,lundi,2024-01,A,0,363.0
CAROTTE,7.0,KG,Legumes Frais,lundi,2024-01,A,0,67.1
CAROTTE CAKE PBC,55.0,PC (1 PC),Viennoiserie,lundi,2024-01,B,0,330.0
CELTIA FUT DE 50L,2.0,PC (50 L),Alcools,lundi,2024-01,B,0,6.0
CHAMPIGNON FRAIS BARQUETTE,2.0,KG,Legumes Frais,lundi,2024-01,A,0,34.5
CHOCOLAT EN POUDRE,17.0,PC (0.2 KG),Cafe,lundi,2024-01,A,0,86.0
CITRON SALLE,7.0,KG,Legumes Frais,lundi,2024-01,B,0,28.0
CONCOMBRE,16.5,KG,Legumes Frais,lundi,2024-01,A,0,177.692
COOKIES,40.0,PC,Viennoiserie,lundi,2024-01,C,0,120.0
CORNICHON FRAIS,6.0,KG,Legumes Frais,lundi,2024-01,B,0,12.0
COURGETTE,2.0,KG,Legumes Frais,lundi,2024-01,A,0,28.6
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,15.0,PC (1 PC),Epicerie,lundi,2024-01,B,0,165.0
EMBALLAGE EN CARTON 30*12*6,150.0,PC (1 PC),Consommable,lundi,2024-01,D,0,300.0
EMINCE DE BOEUF PORT. SURGELE,5.395,KG (1000 GR),Viandes Surgelées,lundi,2024-01,A,0,79.49000000000001
ESCALOPE POULET PANE CONGELE,9.39,KG,Volaille Surgelée,lundi,2024-01,A,0,128.91
ESSUIT TOUT JUMBO,9.0,PC (1 KG),Hygiène,lundi,2024-01,A,0,157.0
FROMAGE BUCHE BLANCHE CHEVRE KG,0.11,KG (1 KG),Beurre Oeuf Fromage,lundi,2024-01,B,0,5.0
FROMAGE CHEDDAR PORTION KG,10.1,KG,Beurre Oeuf Fromage,lundi,2024-01,B,0,24.45
FROMAGE EDAM MEULE,7.2,KG,Beurre Oeuf Fromage,lundi,2024-01,B,0,35.622
FROMAGE MEULE GOUDA KG,8.3,KG,Beurre Oeuf Fromage,lundi,2024-01,A,0,32.932
FROMAGE MOZARELLA CARRE KG,30.0,KG,Beurre Oeuf Fromage,lundi,2024-01,B,0,145.0
FROMAGE PARMIGIANO REGIANO,0.75,PC (1 PC),Beurre Oeuf Fromage,lundi,2024-01,D,0,1.0499999999999998
GARCI GAZ P.E.T 1 L,44.0,L (1 GR),Eaux et Sodas,lundi,2024-01,A,0,344.0
HARISSA 5/2,11.0,BOTTE (1 BTE),Epicerie,lundi,2024-01,A,0,53.0
HUILE VEGETALE 5L,12.0,L (5 PC),Epicerie,lundi,2024-01,A,0,54.0
JAMBON DE BOEUF FUME,5.95,KG,Charcuterie,lundi,2024-01,A,0,18.1
JOUR ET NUIT ROSE 1/2,18.0,PC (1 PC),Alcools,lundi,2024-01,B,0,52.0
KETCHUP,1.0,PC (5000 PC),Epicerie,lundi,2024-01,C,0,40.0
KINDER T4,40.0,PC (1 PC),Epicerie,lundi,2024-01,B,0,180.0
