product,inventory_cycle,predicted_inventory,model_used
AC-SMOOTHIE DETOX,42,11.81492,bidirectional_lstm
AC-SMOOTHIE DETOX,48,11.561388,bidirectional_lstm
AC-SMOOTHIE DETOX,50,10.531542,bidirectional_lstm
AC-SMOOTHIE DETOX,51,10.067179,bidirectional_lstm
AC-SMOOTHIE DETOX,51,9.458628,bidirectional_lstm
AC-SMOOTHIE EXOTIC,38,12.037111,bidirectional_lstm
AC-SMOOTHIE EXOTIC,40,12.414331,bidirectional_lstm
AC-SMOOTHIE EXOTIC,41,12.678156,bidirectional_lstm
AC-SMOOTHIE EXOTIC,42,12.776995,bidirectional_lstm
AC-SMOOTHIE EXOTIC,43,12.458132,bidirectional_lstm
AC-SMOOTHIE EXOTIC,45,12.452181,bidirectional_lstm
AC-SMOOTHIE EXOTIC,47,12.37018,bidirectional_lstm
AC-SMOOTHIE EXOTIC,48,11.655741,bidirectional_lstm
AC-SMOOTHIE EXOTIC,50,10.330568,bidirectional_lstm
AC-SMOOTHIE EXOTIC,51,9.788515,bidirectional_lstm
AC-SMOOTHIE EXOTIC,51,9.39448,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,37,11.735888,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,38,12.234812,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,40,12.513857,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,41,12.707857,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,42,12.758722,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,43,12.39036,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,45,12.387484,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,47,12.322092,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,48,11.61532,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,50,10.248377,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,51,9.742441,bidirectional_lstm
AC-SMOOTHIE LE CLASSIQUE,51,9.423891,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,38,11.984537,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,40,12.5463505,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,41,12.722231,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,42,12.817881,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,43,12.458139,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,45,12.422289,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,47,12.318262,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,48,11.596285,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,50,10.266794,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,51,9.7536335,bidirectional_lstm
AC-SMOOTHIE PEACH'TINI,51,9.408129,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,40,12.702806,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,41,13.190401,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,42,13.255861,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,43,12.921648,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,45,12.861315,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,47,12.723963,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,48,11.976999,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,50,10.634005,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,51,10.017878,bidirectional_lstm
AC-SMOOTHIE TROPIC TRIP,51,9.543665,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,472.78915,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,297.26947,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,1022.46844,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,930.7907,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,519.7526,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,573.41876,bidirectional_lstm
AGITATEUR EN BOIS 11CM,2,867.25415,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,738.464,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,814.93176,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,600.14716,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,1404.376,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,1247.6376,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,832.66406,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,572.095,bidirectional_lstm
AGITATEUR EN BOIS 11CM,3,1242.6743,bidirectional_lstm
AGITATEUR EN BOIS 11CM,4,898.6483,bidirectional_lstm
AGITATEUR EN BOIS 11CM,4,742.97595,bidirectional_lstm
AGITATEUR EN BOIS 11CM,4,961.23236,bidirectional_lstm
AGITATEUR EN BOIS 11CM,4,973.6453,bidirectional_lstm
AGITATEUR EN BOIS 11CM,4,621.44086,bidirectional_lstm
AGITATEUR EN BOIS 11CM,4,782.604,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,992.83624,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,597.912,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,831.2885,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,895.0288,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,1017.38776,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,976.86334,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,769.2557,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,969.13226,bidirectional_lstm
AGITATEUR EN BOIS 11CM,5,853.2875,bidirectional_lstm
AGITATEUR EN BOIS 11CM,6,853.39655,bidirectional_lstm
AGRAFFE,15,9.734339,bidirectional_lstm
AGRAFFE,16,10.146761,bidirectional_lstm
AGRAFFE,18,9.689569,bidirectional_lstm
AGRAFFE,19,9.612452,bidirectional_lstm
AGRAFFE,20,9.859285,bidirectional_lstm
AGRAFFE,21,9.900171,bidirectional_lstm
AGRAFFE,22,9.680101,bidirectional_lstm
AGRAFFE,22,9.861055,bidirectional_lstm
AGRAFFE,23,9.833597,bidirectional_lstm
AGRAFFE,25,9.584536,bidirectional_lstm
AGRAFFE,25,9.279726,bidirectional_lstm
AGRAFFE,27,9.221491,bidirectional_lstm
AGRAFFE,28,9.330698,bidirectional_lstm
AGRAFFE,29,9.667101,bidirectional_lstm
AGRAFFE,33,9.769609,bidirectional_lstm
AGRAFFE,34,9.845636,bidirectional_lstm
AGRAFFE,36,10.260248,bidirectional_lstm
AGRAFFE,36,10.348299,bidirectional_lstm
AGRAFFE,37,10.4219,bidirectional_lstm
AGRAFFE,37,10.389528,bidirectional_lstm
AGRAFFE,38,10.612589,bidirectional_lstm
AGRAFFE,40,10.885927,bidirectional_lstm
AGRAFFE,40,11.108622,bidirectional_lstm
AGRAFFE,41,11.148661,bidirectional_lstm
AGRAFFE,43,11.038736,bidirectional_lstm
AGRAFFE,44,10.515924,bidirectional_lstm
AGRAFFE,45,9.846285,bidirectional_lstm
AGRAFFE,47,9.757769,bidirectional_lstm
AGRAFFE,48,8.833368,bidirectional_lstm
AGRAFFE,52,8.026255,bidirectional_lstm
AIL,8,9.3623295,bidirectional_lstm
AIL,8,9.724199,bidirectional_lstm
AIL,9,9.491831,bidirectional_lstm
AIL,10,9.853518,bidirectional_lstm
AIL,10,9.906343,bidirectional_lstm
AIL,12,10.055933,bidirectional_lstm
AIL,13,9.699244,bidirectional_lstm
AIL,13,10.0589695,bidirectional_lstm
AIL,14,10.032892,bidirectional_lstm
AIL,15,9.729998,bidirectional_lstm
AIL,15,9.398188,bidirectional_lstm
AIL,15,9.052446,bidirectional_lstm
AIL,16,8.302462,bidirectional_lstm
AIL,17,8.543161,bidirectional_lstm
AIL,18,8.063936,bidirectional_lstm
AIL,18,8.138712,bidirectional_lstm
AIL,19,8.170351,bidirectional_lstm
AIL,19,8.349756,bidirectional_lstm
AIL,19,8.757456,bidirectional_lstm
AIL,20,8.720453,bidirectional_lstm
AIL,21,8.56502,bidirectional_lstm
AIL,21,8.575296,bidirectional_lstm
AIL,22,8.419519,bidirectional_lstm
AIL,22,8.238771,bidirectional_lstm
AIL,22,8.300486,bidirectional_lstm
AIL,23,8.486872,bidirectional_lstm
AIL,23,8.376009,bidirectional_lstm
AIL,24,8.231768,bidirectional_lstm
AIL,24,8.316103,bidirectional_lstm
AIL,25,8.410242,bidirectional_lstm
AIL,25,8.314409,bidirectional_lstm
AIL,25,8.530886,bidirectional_lstm
AIL,26,8.749201,bidirectional_lstm
AIL,27,8.874231,bidirectional_lstm
AIL,28,8.949862,bidirectional_lstm
AIL,28,9.049204,bidirectional_lstm
AIL,29,8.893709,bidirectional_lstm
AIL,29,8.803034,bidirectional_lstm
AIL,30,8.960321,bidirectional_lstm
AIL,30,8.943079,bidirectional_lstm
AIL,30,8.7532215,bidirectional_lstm
AIL,31,8.923311,bidirectional_lstm
AIL,31,8.97217,bidirectional_lstm
AIL,31,9.185617,bidirectional_lstm
AIL,31,9.479677,bidirectional_lstm
AIL,32,9.811335,bidirectional_lstm
AIL,32,10.09527,bidirectional_lstm
AIL,34,10.293459,bidirectional_lstm
AIL,34,10.598909,bidirectional_lstm
AIL,35,10.636957,bidirectional_lstm
AIL,36,10.492533,bidirectional_lstm
AIL,37,10.227549,bidirectional_lstm
AIL,38,9.934458,bidirectional_lstm
AIL,38,9.810915,bidirectional_lstm
AIL,39,9.784227,bidirectional_lstm
AIL,40,9.834864,bidirectional_lstm
AIL,41,9.76156,bidirectional_lstm
AIL,42,9.969866,bidirectional_lstm
AIL,43,9.841547,bidirectional_lstm
AIL,43,9.824686,bidirectional_lstm
AIL,44,10.123201,bidirectional_lstm
AIL,44,9.685488,bidirectional_lstm
AIL,46,9.971857,bidirectional_lstm
AIL,47,10.01288,bidirectional_lstm
AIL,48,8.976847,bidirectional_lstm
AIL,48,7.808809,bidirectional_lstm
AIL,49,7.340242,bidirectional_lstm
AIL,49,7.031564,bidirectional_lstm
AIL,50,6.926019,bidirectional_lstm
AIL,50,6.813829,bidirectional_lstm
AIL,50,7.069925,bidirectional_lstm
AIL,51,6.8805327,bidirectional_lstm
AIL,52,6.646318,bidirectional_lstm
AIL,52,6.872644,bidirectional_lstm
AIL EN POUDRE,33,7.7402663,bidirectional_lstm
AIL EN POUDRE,34,7.7374587,bidirectional_lstm
AIL EN POUDRE,35,7.699533,bidirectional_lstm
AIL EN POUDRE,38,7.863794,bidirectional_lstm
AIL EN POUDRE,39,8.14451,bidirectional_lstm
AIL EN POUDRE,39,8.671633,bidirectional_lstm
AIL EN POUDRE,40,8.846979,bidirectional_lstm
AIL EN POUDRE,42,8.838205,bidirectional_lstm
AIL EN POUDRE,43,9.434977,bidirectional_lstm
AIL EN POUDRE,44,9.439211,bidirectional_lstm
AIL EN POUDRE,44,9.868708,bidirectional_lstm
AIL EN POUDRE,45,9.492495,bidirectional_lstm
AIL EN POUDRE,47,9.323587,bidirectional_lstm
AIL EN POUDRE,47,8.313166,bidirectional_lstm
AIL EN POUDRE,51,6.56064,bidirectional_lstm
AJAX VITRE,2,7.8657317,bidirectional_lstm
AJAX VITRE,2,7.8941283,bidirectional_lstm
AJAX VITRE,2,8.072046,bidirectional_lstm
AJAX VITRE,2,8.491747,bidirectional_lstm
AJAX VITRE,3,8.276873,bidirectional_lstm
AJAX VITRE,3,8.204676,bidirectional_lstm
AJAX VITRE,3,8.440561,bidirectional_lstm
AJAX VITRE,3,8.518122,bidirectional_lstm
AJAX VITRE,3,8.787439,bidirectional_lstm
AJAX VITRE,3,8.476206,bidirectional_lstm
AJAX VITRE,4,8.527903,bidirectional_lstm
AJAX VITRE,4,8.800928,bidirectional_lstm
AJAX VITRE,4,8.282236,bidirectional_lstm
AJAX VITRE,4,8.402712,bidirectional_lstm
AJAX VITRE,4,8.592089,bidirectional_lstm
AJAX VITRE,4,8.481966,bidirectional_lstm
AJAX VITRE,5,8.532251,bidirectional_lstm
AJAX VITRE,5,8.395052,bidirectional_lstm
AJAX VITRE,5,8.2966175,bidirectional_lstm
AJAX VITRE,5,8.804514,bidirectional_lstm
AJAX VITRE,5,8.670679,bidirectional_lstm
AJAX VITRE,6,8.754702,bidirectional_lstm
AJAX VITRE,6,8.728411,bidirectional_lstm
AJAX VITRE,6,9.128771,bidirectional_lstm
AJAX VITRE,6,9.337946,bidirectional_lstm
AJAX VITRE,6,9.078562,bidirectional_lstm
AJAX VITRE,6,9.104792,bidirectional_lstm
AJAX VITRE,6,8.91997,bidirectional_lstm
AJAX VITRE,6,9.135538,bidirectional_lstm
AJAX VITRE,6,9.087664,bidirectional_lstm
AJAX VITRE,7,9.059618,bidirectional_lstm
AJAX VITRE,7,9.102358,bidirectional_lstm
AJAX VITRE,7,9.1473255,bidirectional_lstm
AJAX VITRE,7,8.87298,bidirectional_lstm
AJAX VITRE,7,9.328081,bidirectional_lstm
AJAX VITRE,7,8.976007,bidirectional_lstm
AJAX VITRE,7,8.91501,bidirectional_lstm
AJAX VITRE,7,9.29043,bidirectional_lstm
AJAX VITRE,7,8.961084,bidirectional_lstm
AJAX VITRE,8,9.062311,bidirectional_lstm
AJAX VITRE,8,9.097376,bidirectional_lstm
AJAX VITRE,8,9.00284,bidirectional_lstm
AJAX VITRE,8,9.352045,bidirectional_lstm
AJAX VITRE,9,9.516283,bidirectional_lstm
AJAX VITRE,9,9.263071,bidirectional_lstm
AJAX VITRE,9,9.259317,bidirectional_lstm
AJAX VITRE,9,9.2541065,bidirectional_lstm
AJAX VITRE,9,9.09157,bidirectional_lstm
AJAX VITRE,9,9.305117,bidirectional_lstm
AJAX VITRE,9,9.231028,bidirectional_lstm
AJAX VITRE,10,9.358721,bidirectional_lstm
AJAX VITRE,10,9.537279,bidirectional_lstm
AJAX VITRE,10,9.199381,bidirectional_lstm
AJAX VITRE,11,9.160807,bidirectional_lstm
AJAX VITRE,11,9.50532,bidirectional_lstm
AJAX VITRE,11,8.944643,bidirectional_lstm
AJAX VITRE,11,9.23279,bidirectional_lstm
AJAX VITRE,11,9.205774,bidirectional_lstm
AJAX VITRE,11,9.236521,bidirectional_lstm
AJAX VITRE,11,9.054529,bidirectional_lstm
AJAX VITRE,11,9.098719,bidirectional_lstm
AJAX VITRE,11,9.019854,bidirectional_lstm
AJAX VITRE,11,9.5040455,bidirectional_lstm
AJAX VITRE,12,9.438021,bidirectional_lstm
AJAX VITRE,12,9.338846,bidirectional_lstm
AJAX VITRE,12,9.244844,bidirectional_lstm
AJAX VITRE,12,9.385416,bidirectional_lstm
AJAX VITRE,12,9.5210285,bidirectional_lstm
AJAX VITRE,12,8.9854145,bidirectional_lstm
AJAX VITRE,12,9.337465,bidirectional_lstm
AJAX VITRE,12,9.229425,bidirectional_lstm
AJAX VITRE,12,8.833704,bidirectional_lstm
AJAX VITRE,12,9.297197,bidirectional_lstm
AJAX VITRE,12,9.421968,bidirectional_lstm
AJAX VITRE,12,9.40439,bidirectional_lstm
AJAX VITRE,13,8.876474,bidirectional_lstm
AJAX VITRE,13,8.754435,bidirectional_lstm
AJAX VITRE,13,9.012255,bidirectional_lstm
AJAX VITRE,13,8.9463215,bidirectional_lstm
AJAX VITRE,13,8.964914,bidirectional_lstm
AJAX VITRE,13,8.617708,bidirectional_lstm
AJAX VITRE,13,8.686457,bidirectional_lstm
AJAX VITRE,13,8.927767,bidirectional_lstm
AJAX VITRE,13,9.50004,bidirectional_lstm
AJAX VITRE,13,9.628069,bidirectional_lstm
AJAX VITRE,13,9.487955,bidirectional_lstm
AJAX VITRE,13,9.245691,bidirectional_lstm
AJAX VITRE,13,9.226526,bidirectional_lstm
AJAX VITRE,14,9.243082,bidirectional_lstm
AJAX VITRE,14,9.310892,bidirectional_lstm
AJAX VITRE,14,9.254984,bidirectional_lstm
AJAX VITRE,14,8.663073,bidirectional_lstm
AJAX VITRE,14,8.495691,bidirectional_lstm
AJAX VITRE,14,8.31904,bidirectional_lstm
AJAX VITRE,14,8.645121,bidirectional_lstm
AJAX VITRE,14,8.891535,bidirectional_lstm
AJAX VITRE,14,8.822863,bidirectional_lstm
AJAX VITRE,14,9.083048,bidirectional_lstm
AJAX VITRE,14,9.15156,bidirectional_lstm
AJAX VITRE,14,9.240404,bidirectional_lstm
AJAX VITRE,15,8.929148,bidirectional_lstm
AJAX VITRE,15,8.631319,bidirectional_lstm
AJAX VITRE,15,8.4471,bidirectional_lstm
AJAX VITRE,15,8.594416,bidirectional_lstm
AJAX VITRE,15,8.40333,bidirectional_lstm
AJAX VITRE,15,8.679171,bidirectional_lstm
AJAX VITRE,15,8.638727,bidirectional_lstm
AJAX VITRE,15,8.465891,bidirectional_lstm
AJAX VITRE,15,8.553255,bidirectional_lstm
AJAX VITRE,15,8.524294,bidirectional_lstm
AJAX VITRE,16,8.632349,bidirectional_lstm
AJAX VITRE,16,8.638338,bidirectional_lstm
AJAX VITRE,16,8.229174,bidirectional_lstm
AJAX VITRE,16,8.172144,bidirectional_lstm
AJAX VITRE,16,8.054865,bidirectional_lstm
AJAX VITRE,16,8.475008,bidirectional_lstm
AJAX VITRE,16,8.73884,bidirectional_lstm
AJAX VITRE,16,9.103792,bidirectional_lstm
AJAX VITRE,16,9.079233,bidirectional_lstm
AJAX VITRE,16,9.164736,bidirectional_lstm
AJAX VITRE,16,9.112207,bidirectional_lstm
AJAX VITRE,16,9.0097065,bidirectional_lstm
AJAX VITRE,17,8.97484,bidirectional_lstm
AJAX VITRE,17,8.792467,bidirectional_lstm
AJAX VITRE,17,8.220522,bidirectional_lstm
AJAX VITRE,17,8.091333,bidirectional_lstm
AJAX VITRE,17,8.221186,bidirectional_lstm
AJAX VITRE,17,8.137491,bidirectional_lstm
AJAX VITRE,17,8.278894,bidirectional_lstm
AJAX VITRE,17,8.614573,bidirectional_lstm
AJAX VITRE,17,8.2446995,bidirectional_lstm
AJAX VITRE,17,8.095461,bidirectional_lstm
AJAX VITRE,17,8.1905155,bidirectional_lstm
AJAX VITRE,17,8.405474,bidirectional_lstm
AJAX VITRE,17,8.476145,bidirectional_lstm
AJAX VITRE,18,8.230906,bidirectional_lstm
AJAX VITRE,18,8.688936,bidirectional_lstm
AJAX VITRE,18,8.602785,bidirectional_lstm
AJAX VITRE,18,8.958544,bidirectional_lstm
AJAX VITRE,18,8.800539,bidirectional_lstm
AJAX VITRE,18,8.647936,bidirectional_lstm
AJAX VITRE,18,8.460138,bidirectional_lstm
AJAX VITRE,18,7.9811263,bidirectional_lstm
AJAX VITRE,18,8.146761,bidirectional_lstm
AJAX VITRE,18,8.235201,bidirectional_lstm
AJAX VITRE,18,8.120554,bidirectional_lstm
AJAX VITRE,18,8.382235,bidirectional_lstm
AJAX VITRE,18,8.585756,bidirectional_lstm
AJAX VITRE,18,8.657801,bidirectional_lstm
AJAX VITRE,18,8.504084,bidirectional_lstm
AJAX VITRE,18,8.3467655,bidirectional_lstm
AJAX VITRE,18,8.186098,bidirectional_lstm
AJAX VITRE,19,8.095034,bidirectional_lstm
AJAX VITRE,19,8.124323,bidirectional_lstm
AJAX VITRE,19,8.282175,bidirectional_lstm
AJAX VITRE,19,8.169161,bidirectional_lstm
AJAX VITRE,19,8.377733,bidirectional_lstm
AJAX VITRE,19,8.765696,bidirectional_lstm
AJAX VITRE,19,9.01417,bidirectional_lstm
AJAX VITRE,19,8.897341,bidirectional_lstm
AJAX VITRE,19,8.9541645,bidirectional_lstm
AJAX VITRE,19,8.72761,bidirectional_lstm
AJAX VITRE,19,8.48031,bidirectional_lstm
AJAX VITRE,19,8.368288,bidirectional_lstm
AJAX VITRE,19,8.707972,bidirectional_lstm
AJAX VITRE,19,8.815859,bidirectional_lstm
AJAX VITRE,19,9.031565,bidirectional_lstm
AJAX VITRE,19,9.120501,bidirectional_lstm
AJAX VITRE,19,9.130556,bidirectional_lstm
AJAX VITRE,19,8.612917,bidirectional_lstm
AJAX VITRE,19,8.444101,bidirectional_lstm
AJAX VITRE,19,8.361795,bidirectional_lstm
AJAX VITRE,20,8.45479,bidirectional_lstm
AJAX VITRE,20,8.342134,bidirectional_lstm
AJAX VITRE,20,8.375666,bidirectional_lstm
AJAX VITRE,20,8.342386,bidirectional_lstm
AJAX VITRE,20,8.245302,bidirectional_lstm
AJAX VITRE,20,8.295465,bidirectional_lstm
AJAX VITRE,20,8.286814,bidirectional_lstm
AJAX VITRE,20,8.533701,bidirectional_lstm
AJAX VITRE,20,8.560801,bidirectional_lstm
AJAX VITRE,20,8.743143,bidirectional_lstm
AJAX VITRE,20,8.865717,bidirectional_lstm
AJAX VITRE,20,8.739664,bidirectional_lstm
AJAX VITRE,20,8.532648,bidirectional_lstm
AJAX VITRE,20,8.3552265,bidirectional_lstm
AJAX VITRE,20,8.304445,bidirectional_lstm
AJAX VITRE,20,8.315561,bidirectional_lstm
AJAX VITRE,20,8.428728,bidirectional_lstm
AJAX VITRE,21,8.877192,bidirectional_lstm
AJAX VITRE,21,8.920443,bidirectional_lstm
AJAX VITRE,21,8.871241,bidirectional_lstm
AJAX VITRE,21,8.765444,bidirectional_lstm
AJAX VITRE,21,8.495737,bidirectional_lstm
AJAX VITRE,21,8.27849,bidirectional_lstm
AJAX VITRE,21,8.191027,bidirectional_lstm
AJAX VITRE,21,8.469919,bidirectional_lstm
AJAX VITRE,21,8.6052265,bidirectional_lstm
AJAX VITRE,21,8.797075,bidirectional_lstm
AJAX VITRE,21,8.835939,bidirectional_lstm
AJAX VITRE,21,8.580935,bidirectional_lstm
AJAX VITRE,22,8.330645,bidirectional_lstm
AJAX VITRE,22,8.101244,bidirectional_lstm
AJAX VITRE,22,8.157251,bidirectional_lstm
AJAX VITRE,22,8.362474,bidirectional_lstm
AJAX VITRE,22,8.435114,bidirectional_lstm
AJAX VITRE,22,8.424952,bidirectional_lstm
AJAX VITRE,22,8.2475605,bidirectional_lstm
AJAX VITRE,22,7.9352813,bidirectional_lstm
AJAX VITRE,22,7.841478,bidirectional_lstm
AJAX VITRE,22,7.8677,bidirectional_lstm
AJAX VITRE,22,8.071955,bidirectional_lstm
AJAX VITRE,22,8.179911,bidirectional_lstm
AJAX VITRE,22,8.229967,bidirectional_lstm
AJAX VITRE,22,8.163294,bidirectional_lstm
AJAX VITRE,23,8.426577,bidirectional_lstm
AJAX VITRE,23,8.530909,bidirectional_lstm
AJAX VITRE,23,8.627291,bidirectional_lstm
AJAX VITRE,23,8.675707,bidirectional_lstm
AJAX VITRE,23,8.689447,bidirectional_lstm
AJAX VITRE,23,8.672571,bidirectional_lstm
AJAX VITRE,23,8.623995,bidirectional_lstm
AJAX VITRE,23,8.633074,bidirectional_lstm
AJAX VITRE,23,8.721575,bidirectional_lstm
AJAX VITRE,23,8.701105,bidirectional_lstm
AJAX VITRE,23,8.648729,bidirectional_lstm
AJAX VITRE,23,8.637354,bidirectional_lstm
AJAX VITRE,23,8.641047,bidirectional_lstm
AJAX VITRE,23,8.548067,bidirectional_lstm
AJAX VITRE,23,8.423258,bidirectional_lstm
AJAX VITRE,24,8.346727,bidirectional_lstm
AJAX VITRE,24,8.453089,bidirectional_lstm
AJAX VITRE,24,8.536539,bidirectional_lstm
AJAX VITRE,24,8.636934,bidirectional_lstm
AJAX VITRE,24,8.72072,bidirectional_lstm
AJAX VITRE,24,8.722086,bidirectional_lstm
AJAX VITRE,24,8.605913,bidirectional_lstm
AJAX VITRE,24,8.585726,bidirectional_lstm
AJAX VITRE,24,8.61088,bidirectional_lstm
AJAX VITRE,24,8.777979,bidirectional_lstm
AJAX VITRE,24,8.78969,bidirectional_lstm
AJAX VITRE,24,8.856585,bidirectional_lstm
AJAX VITRE,24,8.976313,bidirectional_lstm
AJAX VITRE,24,8.9921055,bidirectional_lstm
AJAX VITRE,25,8.940943,bidirectional_lstm
AJAX VITRE,25,8.817232,bidirectional_lstm
AJAX VITRE,25,8.936609,bidirectional_lstm
AJAX VITRE,25,8.915728,bidirectional_lstm
AJAX VITRE,25,8.937334,bidirectional_lstm
AJAX VITRE,25,8.945147,bidirectional_lstm
AJAX VITRE,26,8.968065,bidirectional_lstm
AJAX VITRE,26,8.940783,bidirectional_lstm
AJAX VITRE,26,8.874689,bidirectional_lstm
AJAX VITRE,26,8.888559,bidirectional_lstm
AJAX VITRE,26,8.910433,bidirectional_lstm
AJAX VITRE,26,8.76948,bidirectional_lstm
AJAX VITRE,26,8.848619,bidirectional_lstm
AJAX VITRE,26,8.999323,bidirectional_lstm
AJAX VITRE,26,9.030161,bidirectional_lstm
AJAX VITRE,26,9.028681,bidirectional_lstm
AJAX VITRE,26,8.940142,bidirectional_lstm
AJAX VITRE,26,8.910044,bidirectional_lstm
AJAX VITRE,27,8.872889,bidirectional_lstm
AJAX VITRE,27,8.8911,bidirectional_lstm
AJAX VITRE,27,9.04545,bidirectional_lstm
