Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,GroupName,Stock_Class,Storage Unit,Month,Date_week,Family,Site,Item Id,Weekend,Demanded,Delivered,satisfaction_rate (%),days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
AC-SMOOTHIE DETOX,20,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-07,dimanche,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,195,20,195,204
AC-SMOOTHIE DETOX,25,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-09,vendredi,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,249,25,249,258
AC-SMOOTHIE DETOX,28,20.0,10.0,Jus Fruit Lait,D,PC,2024-09,dimanche,LIQUIDES,Economat,15203,1,2,2,60.86956521739131,272,28,272,281
AC-SMOOTHIE DETOX,32,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-11,vendredi,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,312,32,312,321
AC-SMOOTHIE DETOX,37,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-01,samedi,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,369,37,369,378
AC-SMOOTHIE DETOX,38,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-01,samedi,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,376,38,376,385
AC-SMOOTHIE DETOX,40,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-01,dimanche,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,391,40,391,400
AC-SMOOTHIE DETOX,41,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-02,samedi,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,404,41,404,413
AC-SMOOTHIE DETOX,42,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-02,dimanche,LIQUIDES,Economat,15203,1,1,1,60.86956521739131,412,42,412,421
AC-SMOOTHIE DETOX,48,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-04,jeudi,LIQUIDES,Economat,15203,0,1,1,60.86956521739131,479,48,479,488
AC-SMOOTHIE DETOX,50,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-05,mercredi,LIQUIDES,Economat,15203,0,1,1,60.86956521739131,492,50,492,501
AC-SMOOTHIE DETOX,51,20.0,10.0,Jus Fruit Lait,D,PC (1 PC),2025-05,dimanche,LIQUIDES,Economat,15203,1,2,2,60.86956521739131,503,51,503,512
AC-SMOOTHIE EXOTIC,25,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-09,vendredi,LIQUIDES,Economat,13782,1,1,1,76.92307692307693,249,25,249,258
AC-SMOOTHIE EXOTIC,28,15.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-09,dimanche,LIQUIDES,Economat,13782,1,2,2,76.92307692307693,272,28,272,281
AC-SMOOTHIE EXOTIC,30,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-10,dimanche,LIQUIDES,Economat,13782,1,1,1,76.92307692307693,300,31,300,309
AC-SMOOTHIE EXOTIC,32,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-11,vendredi,LIQUIDES,Economat,13782,1,1,1,76.92307692307693,312,32,312,321
AC-SMOOTHIE EXOTIC,33,10.0,10.0,Jus Fruit Lait,D,PC (1 PC),2024-11,samedi,LIQUIDES,Economat,13782,1,1,1,76.92307692307693,327,33,327,336
