Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Inventory_Cycle,Max_Stock
MAY 0.5L,529.0,PC,Eaux et Sodas,lundi,2024-01,A,1,1680.0
CELTIA FUT DE 50L,2.0,PC (50 L),Alcools,lundi,2024-01,B,1,2.0
COCA BOITE ZERO,28.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,166.0
FORTE NSPRS,250.0,PC (1 PC),Cafe,lundi,2024-01,A,1,1500.0
"CHOCOLAT EN POUDRE,5.0,""PC (0,2 KG)"",Cafe,lundi,2024-01,A,1,12.0"
BOGA LIME BOITE 24CL,60.0,BTE (1 PC),Eaux et Sodas,lundi,2024-01,A,1,138.0
FANTA BOITE 24CL,80.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,120.0
COCA COLA BOITE 24CL,78.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,240.0
LIPTON ICE TEA PECHE 33 CL,120.0,PC (1 PC),THE,lundi,2024-01,A,1,168.0
BECK'S JET 24CL,66.0,BTL (1 PC),Alcools,lundi,2024-01,A,1,144.0
CELTIA JET 25CL,14.0,PC (1 PC),Alcools,lundi,2024-01,A,1,144.0
INTENSO NSPRS,150.0,PC,Cafe,lundi,2024-01,A,1,2000.0
RED BULL,3.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,96.0
ROULEAU CAISSE 80*80,40.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,1,60.0
ROULEAU TPE,20.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,1,60.0
PAIN CHAWARMA *10,5.0,PQT (10 PC),Boulangerie_R,lundi,2024-01,A,1,30.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,1,82.0
BARQUETTE CARTON DB,1200.0,PC,Consommable,lundi,2024-01,B,1,1500.0
JOUR ET NUIT ROSE 1/2,12.0,PC (1 PC),Alcools,lundi,2024-01,B,1,24.0
JUS CITRONADE  CLASSIQUE 250 ml,25.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,80.0
JUS FRAISE  MINI CAMAROSA 250 ml,25.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,60.0
AJAX VITRE,1.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,10.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),9.0,PC (1 KG),Cafe,lundi,2024-01,A,1,9.0
PAILLE ENVELOPPE 7.5MM COLORE,5.0,SCH (50 PC),Consommable,lundi,2024-01,B,1,10.0
SET DE PLATEAU DB,2000.0,PC,Consommable,lundi,2024-01,B,1,5000.0
BOITE A CREPE,700.0,PC (1 PC),Consommable,lundi,2024-01,B,1,1500.0
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,lundi,2024-01,B,1,1.0
SERVIETTE EN PAPIER 30*30,24.0,PC (1 PC),Consommable,lundi,2024-01,A,1,72.0
MAYO 5L DEJ,10.0,KG (5000 GR),Epicerie,lundi,2024-01,A,1,25.0
HUILE VEGETALE 5L,6.0,L (5 PC),Epicerie,lundi,2024-01,A,1,30.0
ORANGE A JUS,20.0,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,1,121.0
KETCHUP,1.0,PC (5000 PC),Epicerie,lundi,2024-01,C,1,10.0
SNICKERS,40.0,PC (1 PC),Epicerie,lundi,2024-01,C,1,48.0
KINDER T4,20.0,PC (1 PC),Epicerie,lundi,2024-01,B,1,60.0
AMANDES GRILEES SALEES 70GR,12.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,1,48.0
SAUCE BARBECUE,1.0,PC (1 PC),Epicerie,lundi,2024-01,C,1,10.0
NUTELLA 600GR,18.0,PC (1 PC),Pâtisseries,lundi,2024-01,B,1,48.0
EMBALLAGE EN CARTON 30*12*6,150.0,PC (1 PC),Consommable,lundi,2024-01,D,1,300.0
ORANGINA BOITE 24 CL,26.0,BTE (1 BTE),Eaux et Sodas,lundi,2024-01,A,1,72.0
"CHOCOLAT EN POUDRE,12.0,""PC (0,2 KG)"",Cafe,lundi,2024-01,A,1,12.0"
RED BULL,55.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,96.0
FANTA BOITE 24CL,49.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,120.0
GARCI GAZ P.E.T 1 L,44.0,L (1 GR),Eaux et Sodas,lundi,2024-01,A,1,103.0
MAY 0.5L,985.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,1680.0
