Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
AJAX VITRE,2.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,32.0
AMANDES GRILEES SALEES 70GR,24.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,0,84.0
BACON DE DINDE TRANCHES (1 - 1.5 KG),10.0,KG,Charcuterie,lundi,2024-01,B,0,43.0
BARQUETTE CARTON DB,1200.0,PC,Consommable,lundi,2024-01,B,0,2900.0
BECK'S JET 24CL,66.0,BTL (1 PC),Alcools,lundi,2024-01,A,0,683.0
BISCUIT TUC,24.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,120.0
BOGA LIME BOITE 24CL,63.0,BTE (1 PC),Eaux et Sodas,lundi,2024-01,A,0,1322.0
BOITE A CREPE,700.0,PC (1 PC),Consommable,lundi,2024-01,B,0,3150.0
BORGHELL,3.0,KG (1 KG),Epicerie,lundi,2024-01,C,0,10.0
BROCHETTE BAMBOO 20,2.0,PC (1 PC),Consommable,lundi,2024-01,C,0,14.0
CAKE MARBRE PBC,55.0,PC (1 PC),Viennoiserie,lundi,2024-01,A,0,363.0
CAROTTE,7.0,KG,Legumes Frais,lundi,2024-01,A,0,67.1
CAROTTE CAKE PBC,55.0,PC (1 PC),Viennoiserie,lundi,2024-01,B,0,330.0
CELTIA JET 25CL,14.0,PC (1 PC),Alcools,lundi,2024-01,A,0,591.0
CHAMPIGNON FRAIS BARQUETTE,2.0,KG,Legumes Frais,lundi,2024-01,A,0,34.5
CHOCOLAT EN POUDRE,17.0,PC (0.2 KG),Cafe,lundi,2024-01,A,0,86.0
COCA BOITE ZERO,74.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,0,990.0
COCA COLA BOITE 24CL,101.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,0,2855.0
CONCOMBRE,16.5,KG,Legumes Frais,lundi,2024-01,A,0,177.692
COOKIES,40.0,PC,Viennoiserie,lundi,2024-01,C,0,120.0
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,15.0,PC (1 PC),Epicerie,lundi,2024-01,B,0,165.0
EMBALLAGE EN CARTON 30*12*6,150.0,PC (1 PC),Consommable,lundi,2024-01,D,0,300.0
EMINCE DE BOEUF PORT. SURGELE,5.395,KG (1000 GR),Viandes Surgelées,lundi,2024-01,A,0,79.49000000000001
ESCALOPE POULET PANE CONGELE,9.39,KG,Volaille Surgelée,lundi,2024-01,A,0,128.91
ESSUIT TOUT JUMBO,9.0,PC (1 KG),Hygiène,lundi,2024-01,A,0,157.0
FANTA BOITE 24CL,140.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,0,1328.0
FORTE NSPRS,750.0,PC (1 PC),Cafe,lundi,2024-01,A,0,5150.0
FROMAGE CHEDDAR PORTION KG,10.1,KG,Beurre Oeuf Fromage,lundi,2024-01,B,0,24.45
FROMAGE EDAM MEULE,7.2,KG,Beurre Oeuf Fromage,lundi,2024-01,B,0,35.622
FROMAGE MEULE GOUDA KG,8.3,KG,Beurre Oeuf Fromage,lundi,2024-01,A,0,32.932
FROMAGE MOZARELLA CARRE KG,30.0,KG,Beurre Oeuf Fromage,lundi,2024-01,B,0,145.0
FROMAGE PARMIGIANO REGIANO,0.75,PC (1 PC),Beurre Oeuf Fromage,lundi,2024-01,D,0,1.0499999999999998
GANT EN VINYL MEDUIM,300.0,SCH (1 PC),Hygiène,lundi,2024-01,A,0,5700.0
GANTS LATEX,800.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,9100.0
GARCI GAZ P.E.T 1 L,44.0,L (1 GR),Eaux et Sodas,lundi,2024-01,A,0,344.0
