Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
ANANAS PCES,3.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,0,172.0
AUBERGINE LEGUME,2.1,KG,Legumes Frais,lundi,2024-01,A,0,17.85
CELTIA FUT DE 50L,2.0,PC (50 L),Alcools,lundi,2024-01,B,0,6.0
CITRON SALLE,7.0,KG,Legumes Frais,lundi,2024-01,B,0,28.0
CORNICHON FRAIS,6.0,KG,Legumes Frais,lundi,2024-01,B,0,12.0
COURGETTE,2.0,KG,Legumes Frais,lundi,2024-01,A,0,28.6
FOURCHETTE NOIRE EMBALEE EJEM,1000.0,PC (1 PC),Consommable,lundi,2024-01,A,0,10000.0
FROMAGE BUCHE BLANCHE CHEVRE KG,0.11,KG (1 KG),Beurre Oeuf Fromage,lundi,2024-01,B,0,5.0
JAMBON DE BOEUF FUME,5.95,KG,Charcuterie,lundi,2024-01,A,0,18.1
NUTELLA 600GR,18.0,PC (1 PC),Pâtisseries,lundi,2024-01,B,0,114.0
PAILLE ENVELOPPE 7.5MM COLORE,5.0,SCH (50 PC),Consommable,lundi,2024-01,B,0,47.0
PAPIER ALUM DE 100,1.0,PC (1 PC),Consommable,lundi,2024-01,B,0,9.0
PAPIER CUISSON 40*60,1.0,PC (500 PC),Consommable,lundi,2024-01,C,0,4.0
PAPRIKA DOUX,2.0,KG (1 KG),Fruits & Legumes Frais,lundi,2024-01,C,0,3.0
PAPRIKA FORT,1.0,KG,Epicerie,lundi,2024-01,C,0,3.0
PIMENT ROUGE SALLE,5.0,KG,Legumes Frais,lundi,2024-01,B,0,20.0
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,lundi,2024-01,B,0,3.0
RISTRETTO NSPRS,50.0,PC (1 PC),Cafe,lundi,2024-01,A,0,6800.0
TOQUE CHEF,2.0,PC (1 PC),Hygiène,lundi,2024-01,C,0,6.0
VIANDE SECHE FUME (BRESAOLA) TRANCHES 300GR,0.6,KG (1000 GR),Viandes Fraiches,lundi,2024-01,A,0,11.0
AIL,5.3,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,8.3
AMANDE EFFILEE,1.0,PC (1 KG),Fruits Secs,mercredi,2024-01,B,1,4.0
ANANAS PCES,91.0,PC (1 PC),Jus Fruit Lait,mardi,2024-01,A,1,172.0
AUBERGINE LEGUME,5.65,KG (1 KG),Legumes Frais,dimanche,2024-01,A,1,17.85
BACON BOEUF FUME TRANCHES ( 300GR),3.9,KG (1000 GR),Viandes Fraiches,vendredi,2024-01,A,1,6.9
BACTYGEL 703 CF,3.0,BTL (1 BTL),Hygiène,mardi,2024-01,B,1,4.0
BASILIC BARQUETTE,2.6,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,11.05
CAPRE VRAC,2.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,9.0
CELTIA FUT DE 50L,2.0,PC (50 L),Alcools,dimanche,2024-01,B,1,6.0
CHAPLUR,2.0,PC (1 KG),Epicerie,mardi,2024-01,C,1,16.0
CHOUX ROUGE,3.1,PC (1 PC),Legumes Frais,mardi,2024-01,A,1,9.6
CITRON,2.0,KG (1 KG),Legumes Frais,jeudi,2024-01,A,1,16.75
CITRON SALLE,7.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,28.0
CORNICHON FRAIS,8.0,KG (1 KG),Legumes Frais,vendredi,2024-01,B,1,12.0
COURGETTE,8.95,KG (1 KG),Legumes Frais,dimanche,2024-01,A,1,28.6
COUVERCLE AVEC TROU BOMBE 95KY,3300.0,PC,Consommable,mardi,2024-01,B,1,3300.0
CREME DE BALSAMIQUE,1.0,BTL (1 ML),Epicerie,mercredi,2024-01,D,1,10.0
CUILLIERE NOIRE EJEM,1600.0,PC,Consommable,mercredi,2024-01,A,1,4900.0
EPINARD,2.4,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,12.15
FOURCHETTE NOIRE EMBALEE EJEM,3000.0,PC (1 PC),Consommable,mercredi,2024-01,A,1,10000.0
FROMAGE GORGONZELA,0.15,PC (1 KG),Beurre Oeuf Fromage,mercredi,2024-01,A,1,13.0
FROMAGE MAASDAM EN BLOC PB,30.0,KG,Beurre Oeuf Fromage,mardi,2024-01,A,1,65.5
FROMAGE SICILIEN,1.866,KG (1 KG),Beurre Oeuf Fromage,mercredi,2024-01,D,1,5.946
FUT HEINEKEIN,120.0,PC (1 L),Alcools,mardi,2024-01,B,1,240.0
HARISSA 450G,10.0,BTE (1 BTE),Epicerie,jeudi,2024-01,C,1,17.0
JAMBON DE BOEUF FUME,5.95,KG (1 KG),Charcuterie,mercredi,2024-01,A,1,18.1
JAMBON DE DINDE,10.95,PC (1 KG),Charcuterie,jeudi,2024-01,A,1,34.15
JOUR ET NUIT ROUGE 1/2,8.0,PC (1 PC),Alcools,jeudi,2024-01,C,1,48.0
LOT CAFE GRAIN BARISTA,16.0,PC (1 KG),Cafe,mardi,2024-01,A,1,121.0
MAIS EN VRAC,1.0,PC (1 KG),Legumes Frais,lundi,2024-01,C,1,9.0
MANCHE A BALAIS,6.0,PC (1 PC),Hygiène,mercredi,2024-01,B,1,20.0
MENTHE SECHE,0.12,KG (1 KG),Epicerie,mardi,2024-01,D,1,2.0
MIEL DOUX & FRAIS,1.0,PC (1 PC),Epicerie,mardi,2024-01,C,1,11.0
NUTELLA 600GR,93.0,PC (1 PC),Pâtisseries,mardi,2024-01,B,1,114.0
PAILLE ENVELOPPE 7.5MM COLORE,24.0,SCH (50 PC),Consommable,vendredi,2024-01,B,1,47.0
PAPIER ALUM DE 100,2.0,PC (1 PC),Consommable,vendredi,2024-01,B,1,9.0
PAPRIKA FORT,1.0,KG (1 KG),Epicerie,mardi,2024-01,C,1,3.0
PERSIL,2.2,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,7.32999
PIMENT ROUGE SALLE,5.0,KG,Legumes Frais,vendredi,2024-01,B,1,20.0
PISTACHE CONCASSEE,1.0,PC (1000 GR),Fruits Secs,vendredi,2024-01,C,1,4.0
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,mardi,2024-01,B,1,3.0
QUATRE EPICES MOULU,1.0,PC (1 KG),Epicerie,mercredi,2024-01,C,1,3.0
RACLETTE,2.0,PC (1 PC),Hygiène,jeudi,2024-01,B,1,7.0
RISTRETTO NSPRS,1300.0,PC (1 PC),Cafe,mardi,2024-01,A,1,6800.0
