Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,Utilization_Rate,GroupName,Stock_Class,Storage Unit,Family,Site,Item Id,Demanded,Delivered,satisfaction_rate (%),Weekend,Month,Date_week,days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
AJAX VITRE,0,2.0,32.0,0.062,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,13139,2,2,68.68451688009313,0,2024-01,lundi,0,1,0,9
AMANDES GRILEES SALEES 70GR,0,24.0,84.0,0.286,Fruits Secs,B,PC (1 PC),SOLIDES,Economat,12879,2,2,72.5925925925926,0,2024-01,lundi,0,1,0,9
ANANAS PCES,0,3.0,172.0,0.017,Jus Fruit Lait,A,PC (1 PC),LIQUIDES,Economat,13616,1,1,76.66068222621185,0,2024-01,lundi,0,1,0,9
AUBERGINE LEGUME,0,2.1,17.85,0.118,Legumes Frais,A,KG,SOLIDES,Economat,12532,1,1,71.64948453608247,0,2024-01,lundi,0,1,0,9
BACON DE DINDE TRANCHES (1 - 1.5 KG),0,10.0,43.0,0.233,Charcuterie,B,KG,SOLIDES,Economat,10865,1,1,68.70748299319727,0,2024-01,lundi,0,1,0,9
BARQUETTE CARTON DB,0,1200.0,2900.0,0.414,Consommable,B,PC,CONSO/HYG,Economat,11337,1,1,47.368421052631575,0,2024-01,lundi,0,1,0,9
BECK'S JET 24CL,0,66.0,683.0,0.097,Alcools,A,BTL (1 PC),LIQUIDES,Economat,13242,1,1,93.3933933933934,0,2024-01,lundi,0,1,0,9
BISCUIT TUC,0,24.0,120.0,0.2,Epicerie,D,PC (1 PC),SOLIDES,Economat,12548,1,1,85.0,0,2024-01,lundi,0,1,0,9
BOGA LIME BOITE 24CL,0,63.0,1322.0,0.048,Eaux et Sodas,A,BTE (1 PC),LIQUIDES,Economat,12552,2,2,90.8502024291498,0,2024-01,lundi,0,1,0,9
BOITE A CREPE,0,700.0,3150.0,0.222,Consommable,B,PC (1 PC),CONSO/HYG,Economat,12553,1,1,85.5072463768116,0,2024-01,lundi,0,1,0,9
BORGHELL,0,3.0,10.0,0.3,Epicerie,C,KG (1 KG),SOLIDES,Economat,12886,1,1,63.82978723404256,0,2024-01,lundi,0,1,0,9
BROCHETTE BAMBOO 20,0,2.0,14.0,0.143,Consommable,C,PC (1 PC),CONSO/HYG,Economat,13563,1,1,78.48101265822784,0,2024-01,lundi,0,1,0,9
CAKE MARBRE PBC,0,55.0,363.0,0.152,Viennoiserie,A,PC (1 PC),SOLIDES,Economat,14743,1,1,65.50218340611353,0,2024-01,lundi,0,1,0,9
CAROTTE,0,7.0,67.1,0.104,Legumes Frais,A,KG,SOLIDES,Economat,12054,1,1,77.54569190600522,0,2024-01,lundi,0,1,0,9
CAROTTE CAKE PBC,0,55.0,330.0,0.167,Viennoiserie,B,PC (1 PC),SOLIDES,Economat,16270,1,1,67.2514619883041,0,2024-01,lundi,0,1,0,9
CELTIA FUT DE 50L,0,2.0,6.0,0.333,Alcools,B,PC (50 L),LIQUIDES,Economat,15470,1,1,78.16901408450704,0,2024-01,lundi,0,1,0,9
CELTIA JET 25CL,0,14.0,591.0,0.024,Alcools,A,PC (1 PC),LIQUIDES,Economat,13243,1,1,94.76744186046513,0,2024-01,lundi,0,1,0,9
CHAMPIGNON FRAIS BARQUETTE,0,2.0,34.5,0.058,Legumes Frais,A,KG,SOLIDES,Economat,12567,1,1,52.29007633587786,0,2024-01,lundi,0,1,0,9
"CHOCOLAT EN POUDRE,0,17.0,86.0,0.198,Cafe,A,""PC (0,2 KG)"",LIQUIDES,Economat,12576,2,2,79.57559681697613,0,2024-01,lundi,0,1,0,9"
CITRON SALLE,0,7.0,28.0,0.25,Legumes Frais,B,KG,SOLIDES,Economat,12583,1,1,64.05228758169935,0,2024-01,lundi,0,1,0,9
COCA BOITE ZERO,0,74.0,990.0,0.075,Eaux et Sodas,A,PC (1 PC),LIQUIDES,Economat,12585,3,3,76.10738255033557,0,2024-01,lundi,0,1,0,9
COCA COLA BOITE 24CL,0,101.0,2855.0,0.035,Eaux et Sodas,A,PC (1 PC),LIQUIDES,Economat,12586,3,3,91.54624277456648,0,2024-01,lundi,0,1,0,9
CONCOMBRE,0,16.5,177.692,0.093,Legumes Frais,A,KG,SOLIDES,Economat,12131,1,1,78.89087656529516,0,2024-01,lundi,0,1,0,9
COOKIES,0,40.0,120.0,0.333,Viennoiserie,C,PC,SOLIDES,Economat,16244,1,1,76.27118644067797,0,2024-01,lundi,0,1,0,9
CORNICHON FRAIS,0,6.0,12.0,0.5,Legumes Frais,B,KG,SOLIDES,Economat,12601,1,1,72.3404255319149,0,2024-01,lundi,0,1,0,9
COURGETTE,0,2.0,28.6,0.07,Legumes Frais,A,KG,SOLIDES,Economat,12604,1,1,77.88161993769471,0,2024-01,lundi,0,1,0,9
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,0,15.0,165.0,0.091,Epicerie,B,PC (1 PC),SOLIDES,Economat,16577,1,1,88.0,0,2024-01,lundi,0,1,0,9
EMBALLAGE EN CARTON 30*12*6,0,150.0,300.0,0.5,Consommable,D,PC (1 PC),CONSO/HYG,Economat,16224,1,1,48.57142857142857,0,2024-01,lundi,0,1,0,9
EMINCE DE BOEUF PORT. SURGELE,0,5.395,79.49000000000001,0.068,Viandes Surgelées,A,KG (1000 GR),SOLIDES,Economat,16289,1,1,71.32075471698113,0,2024-01,lundi,0,1,0,9
ESCALOPE POULET PANE CONGELE,0,9.39,128.91,0.073,Volaille Surgelée,A,KG,SOLIDES,Economat,15081,1,1,75.96685082872928,0,2024-01,lundi,0,1,0,9
ESSUIT TOUT JUMBO,0,9.0,157.0,0.057,Hygiène,A,PC (1 KG),CONSO/HYG,Economat,12940,2,2,74.55101260985862,0,2024-01,lundi,0,1,0,9
FANTA BOITE 24CL,0,140.0,1328.0,0.105,Eaux et Sodas,A,PC (1 PC),LIQUIDES,Economat,12634,4,4,89.79099678456592,0,2024-01,lundi,0,1,0,9
FORTE NSPRS,0,750.0,5150.0,0.146,Cafe,A,PC (1 PC),LIQUIDES,Economat,16339,4,4,80.0,0,2024-01,lundi,0,1,0,9
FOURCHETTE NOIRE EMBALEE EJEM,0,1000.0,10000.0,0.1,Consommable,A,PC (1 PC),CONSO/HYG,Economat,12645,2,2,75.0,0,2024-01,lundi,0,1,0,9
FROMAGE BUCHE BLANCHE CHEVRE KG,0,0.11,5.0,0.022,Beurre Oeuf Fromage,B,KG (1 KG),SOLIDES,Economat,13550,1,1,40.54054054054054,0,2024-01,lundi,0,1,0,9
FROMAGE CHEDDAR PORTION KG,0,10.1,24.45,0.413,Beurre Oeuf Fromage,B,KG,SOLIDES,Economat,15627,1,1,24.193548387096776,0,2024-01,lundi,0,1,0,9
FROMAGE EDAM MEULE,0,7.2,35.622,0.202,Beurre Oeuf Fromage,B,KG,SOLIDES,Economat,14345,1,1,72.51461988304094,0,2024-01,lundi,0,1,0,9
FROMAGE MEULE GOUDA KG,0,8.3,32.932,0.252,Beurre Oeuf Fromage,A,KG,SOLIDES,Economat,14859,1,1,65.96858638743456,0,2024-01,lundi,0,1,0,9
