Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Inventory_Cycle,Max_Stock,Weekend,Stock_Utilization
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-07,D,20,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-09,D,25,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC,Jus Fruit Lait,dimanche,2024-09,D,28,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,lundi,2024-10,D,29,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-11,D,32,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,37,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,38,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-01,D,40,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-02,D,41,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-02,D,42,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,jeudi,2025-04,D,48,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,mercredi,2025-05,D,50,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-05,D,51,10.0,0,0.9999999989999999
AC-SMOOTHIE DETOX,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-05,D,51,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-09,D,25,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-09,D,28,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,5.0,PC (1 PC),Jus Fruit Lait,lundi,2024-10,D,29,10.0,0,0.49999999949999996
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-10,D,31,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-11,D,32,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,samedi,2024-11,D,33,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,jeudi,2024-12,D,34,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC,Jus Fruit Lait,mardi,2024-12,D,36,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,37,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,38,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-01,D,40,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-02,D,41,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-02,D,42,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,mercredi,2025-02,D,43,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-03,D,45,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,5.0,PC (1 PC),Jus Fruit Lait,samedi,2025-04,D,47,10.0,0,0.49999999949999996
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,jeudi,2025-04,D,48,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,mercredi,2025-05,D,50,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-05,D,51,10.0,0,0.9999999989999999
AC-SMOOTHIE EXOTIC,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-05,D,51,10.0,0,0.9999999989999999
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-07,D,20,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-09,D,25,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-09,D,28,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,lundi,2024-10,D,29,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,3.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-10,D,31,11.0,0,0.2727272724793388
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-11,D,32,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,samedi,2024-11,D,33,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,11.0,PC (1 PC),Jus Fruit Lait,jeudi,2024-12,D,34,11.0,0,0.999999999090909
AC-SMOOTHIE LE CLASSIQUE,1.0,PC,Jus Fruit Lait,mardi,2024-12,D,36,11.0,0,0.09090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,37,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,38,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-01,D,40,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-02,D,41,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-02,D,42,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,mercredi,2025-02,D,43,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-03,D,45,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,5.0,PC (1 PC),Jus Fruit Lait,samedi,2025-04,D,47,11.0,0,0.45454545413223135
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,jeudi,2025-04,D,48,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,mercredi,2025-05,D,50,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-05,D,51,11.0,0,0.9090909082644627
AC-SMOOTHIE LE CLASSIQUE,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-05,D,51,11.0,0,0.9090909082644627
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-07,D,20,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-09,D,25,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-09,D,28,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,lundi,2024-10,D,29,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-11,D,32,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,samedi,2024-11,D,33,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,jeudi,2024-12,D,34,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,5.0,PC,Jus Fruit Lait,mardi,2024-12,D,36,10.0,0,0.49999999949999996
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,37,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,samedi,2025-01,D,38,10.0,0,0.9999999989999999
AC-SMOOTHIE PEACH'TINI,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2025-01,D,40,10.0,0,0.9999999989999999
