Name,Inventory_Cycle,Physical Storage Quantity,Demanded,Delivered,satisfaction_rate (%),Stock_Class,Max_Stock,Family,GroupName
BAGUETTE,1,150.0,120,118,98.3,A,200,BAKERY,Food
BAGUETTE,2,145.0,125,125,100.0,A,200,BAKERY,Food
BAGUETTE,3,140.0,130,128,98.5,A,200,BAKERY,Food
BAGUETTE,4,155.0,115,115,100.0,A,200,BAKERY,Food
BAGUETTE,5,160.0,140,138,98.6,A,200,BAKERY,Food
CROISSANT,1,80.0,70,68,97.1,B,120,BAKERY,Food
CROISSANT,2,85.0,75,75,100.0,B,120,BAKERY,Food
CROISSANT,3,82.0,78,76,97.4,B,120,BAKERY,Food
CROISSANT,4,88.0,65,65,100.0,B,120,BAKERY,Food
CROISSANT,5,90.0,80,79,98.8,B,120,BAKERY,Food
LAPTOP_DELL,1,25.0,20,19,95.0,A,50,ELECTRONICS,Tech
LAPTOP_DELL,2,28.0,22,22,100.0,A,50,ELECTRONICS,Tech
LAPTOP_DELL,3,26.0,24,23,95.8,A,50,ELECTRONICS,Tech
LAPTOP_DELL,4,30.0,18,18,100.0,A,50,ELECTRONICS,Tech
LAPTOP_DELL,5,32.0,26,25,96.2,A,50,ELECTRONICS,Tech
PHONE_SAMSUNG,1,45.0,40,38,95.0,A,80,ELECTRONICS,Tech
PHONE_SAMSUNG,2,48.0,42,42,100.0,A,80,ELECTRONICS,Tech
PHONE_SAMSUNG,3,46.0,44,42,95.5,A,80,ELECTRONICS,Tech
PHONE_SAMSUNG,4,50.0,35,35,100.0,A,80,ELECTRONICS,Tech
PHONE_SAMSUNG,5,52.0,46,45,97.8,A,80,ELECTRONICS,Tech
DETERGENT,1,200.0,180,175,97.2,C,300,CLEANING,Consommable
DETERGENT,2,195.0,185,185,100.0,C,300,CLEANING,Consommable
DETERGENT,3,190.0,190,188,98.9,C,300,CLEANING,Consommable
DETERGENT,4,205.0,170,170,100.0,C,300,CLEANING,Consommable
DETERGENT,5,210.0,200,198,99.0,C,300,CLEANING,Consommable
