Site,Item Id,Name,Physical Storage Quantity,Storage Unit,Family,GroupName,From,To,Delivery date,Date_week,Month,Week_iso,Demanded,Delivered,Cycle,DispatchFlag,flow,Stock_Class_x,Stock_Class_y,Stock_Class,satisfaction_rate (%),days_since_start,Inventory_Cycle,Max_Stock,Weekend
Economat,15027,MAY 0.5L,529.0,PC,LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,87.152133580705,0,1,1680.0,0
Economat,15470,CELTIA FUT DE 50L,2.0,PC (50 L),LIQUIDES,Alcools,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,78.16901408450704,0,1,2.0,0
Economat,12585,COCA BOITE ZERO,28.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,76.10738255033557,0,1,166.0,0
Economat,16339,FORTE NSPRS,250.0,PC (1 PC),LIQUIDES,Cafe,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,80.0,0,1,1500.0,0
Economat,12576,CHOCOLAT EN POUDRE,5.0,"PC (0,2 KG)",LIQUIDES,Cafe,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,79.57559681697613,0,1,12.0,0
Economat,12552,BOGA LIME BOITE 24CL,60.0,BTE (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,90.8502024291498,0,1,138.0,0
Economat,12634,FANTA BOITE 24CL,80.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,89.79099678456592,0,1,120.0,0
Economat,12586,COCA COLA BOITE 24CL,78.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,91.54624277456648,0,1,240.0,0
Economat,14299,LIPTON ICE TEA PECHE 33 CL,120.0,PC (1 PC),LIQUIDES,THE,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,78.68338557993731,0,1,168.0,0
Economat,13242,BECK'S JET 24CL,66.0,BTL (1 PC),LIQUIDES,Alcools,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,93.3933933933934,0,1,144.0,0
Economat,13243,CELTIA JET 25CL,14.0,PC (1 PC),LIQUIDES,Alcools,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,94.76744186046513,0,1,144.0,0
Economat,16340,INTENSO NSPRS,150.0,PC,LIQUIDES,Cafe,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,68.36461126005362,0,1,2000.0,0
Economat,12799,RED BULL,3.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,A,A,A,84.55882352941177,0,1,96.0,0
