product,predicted_inventory,target_cycle,prediction_type,forecast_horizon
GANTS LATEX,285.0,53,fallback_forecast,1
AGITATEUR EN BOIS 11CM,950.0,53,fallback_forecast,1
ROQUETTE SALADE KG,0.855,53,fallback_forecast,1
FROMAGE CHEDDAR PORTION KG,3.4959049999999996,53,fallback_forecast,1
FROMAGE PARMIGIANO REGIANO,0.4275,53,fallback_forecast,1
LOT CAFE EN GRAINS ( BARISTA N°3 ),2.8499999999999996,53,fallback_forecast,1
FROMAGE BLUE CHEESE GR,0.95,53,fallback_forecast,1
COUVERCLE POUR GOB 16 OZ ET 14 OZ,95.0,53,fallback_forecast,1
PAILLE ENVELOPPE 7.5MM NOIR,7.6,53,fallback_forecast,1
FROMAGE CAMEMBERT 240g,0.95,53,fallback_forecast,1
GOBLET TRANS 0.5L,190.0,53,fallback_forecast,1
Citronnade La Classique 1LITRE,6.6499999999999995,53,fallback_forecast,1
FROMAGE SICILIEN,1.0811,53,fallback_forecast,1
BOGA LIM PET 0.5,0.95,53,fallback_forecast,1
COCA COLA ZERO PET 0.5L,1.9,53,fallback_forecast,1
FANTA PET 0.5 L,0.95,53,fallback_forecast,1
FROMAGE MOZARELLA CARRE KG,1.9,53,fallback_forecast,1
COUVERCLE SANS TROU PET BOMBE 80MM,95.0,53,fallback_forecast,1
PAILLE ENVELOPPE 7.5MM COLORE,2.8499999999999996,53,fallback_forecast,1
BOGA CIDRE BOITE,59.849999999999994,53,fallback_forecast,1
HUILE VEGETALE 5L,1.9,53,fallback_forecast,1
Beurre 200Gr,55.099999999999994,53,fallback_forecast,1
JUS FRAISE  MINI CAMAROSA 250 ml,28.5,53,fallback_forecast,1
JUS CITRONADE  CLASSIQUE 250 ml,19.0,53,fallback_forecast,1
COCA COLA PET 0.5,45.599999999999994,53,fallback_forecast,1
FROMAGE MOZZARELLA CARRE KG,19.0,53,fallback_forecast,1
ORANGINA BOITE 24 CL,22.799999999999997,53,fallback_forecast,1
"MIRA 0,6L",15.2,53,fallback_forecast,1
PRUNES,1.0924999999999998,53,fallback_forecast,1
GOBLET PP TRANSPARENT 200CC/80MM YOZEL,380.0,53,fallback_forecast,1
POT NUTELLA 3 KG,3.8,53,fallback_forecast,1
COUTEAU A PAIN 20CM,0.95,53,fallback_forecast,1
LAIT ENTIER 1L,22.799999999999997,53,fallback_forecast,1
EMBALLAGE EN CARTON 30*12*6,285.0,53,fallback_forecast,1
"EAU MELLITI PET 0,5 L",228.0,53,fallback_forecast,1
CREME SUPERIEUR DELICE 1L,0.95,53,fallback_forecast,1
RISTRETTO NSPRS,142.5,53,fallback_forecast,1
THON EN BOITES,19.0,53,fallback_forecast,1
TOMATE CONCENTRE 4/4,11.399999999999999,53,fallback_forecast,1
