product,predicted_inventory,target_cycle,prediction_method,forecast_horizon
MAY 0.5L,228,53,individual_fallback,1
CELTIA FUT DE 50L,1,53,individual_fallback,1
COCA BOITE ZERO,19,53,individual_fallback,1
FORTE NSPRS,173,53,individual_fallback,1
CHOCOLAT EN POUDRE,6,53,individual_fallback,1
BOGA LIME BOITE 24CL,21,53,individual_fallback,1
FANTA BOITE 24CL,23,53,individual_fallback,1
COCA COLA BOITE 24CL,46,53,individual_fallback,1
LIPTON ICE TEA PECHE 33 CL,24,53,individual_fallback,1
BECK'S JET 24CL,25,53,individual_fallback,1
CELTIA JET 25CL,25,53,individual_fallback,1
INTENSO NSPRS,164,53,individual_fallback,1
RED BULL,13,53,individual_fallback,1
ROULEAU CAISSE 80*80,13,53,individual_fallback,1
ROULEAU TPE,20,53,individual_fallback,1
PAIN CHAWARMA *10,5,53,individual_fallback,1
LAIT UHT DEMI ECREME,27,53,individual_fallback,1
BARQUETTE CARTON DB,648,53,individual_fallback,1
JOUR ET NUIT ROSE 1/2,8,53,individual_fallback,1
JUS CITRONADE  CLASSIQUE 250 ml,24,53,individual_fallback,1
JUS FRAISE  MINI CAMAROSA 250 ml,23,53,individual_fallback,1
AJAX VITRE,1,53,individual_fallback,1
LOT CAFE EN GRAINS ( BARISTA N°3 ),2,53,individual_fallback,1
PAILLE ENVELOPPE 7.5MM COLORE,4,53,individual_fallback,1
SET DE PLATEAU DB,1430,53,individual_fallback,1
BOITE A CREPE,620,53,individual_fallback,1
POIVRE NOIR MOULU,1,53,individual_fallback,1
SERVIETTE EN PAPIER 30*30,22,53,individual_fallback,1
MAYO 5L DEJ,7,53,individual_fallback,1
HUILE VEGETALE 5L,4,53,individual_fallback,1
ORANGE A JUS,35,53,individual_fallback,1
KETCHUP,5,53,individual_fallback,1
SNICKERS,25,53,individual_fallback,1
KINDER T4,25,53,individual_fallback,1
AMANDES GRILEES SALEES 70GR,16,53,individual_fallback,1
SAUCE BARBECUE,5,53,individual_fallback,1
NUTELLA 600GR,14,53,individual_fallback,1
EMBALLAGE EN CARTON 30*12*6,106,53,individual_fallback,1
ORANGINA BOITE 24 CL,11,53,individual_fallback,1
